epoch,Recall,F1-score,Precision,noise,accuracy,mIoU,loss
1,0.85194889,0.74283433,0.658496471,0.341503529,0.953632942,0.770417454,0.080509879
2,0.855316162,0.782581328,0.721247506,0.278752494,0.962643257,0.795858154,0.061064921
3,0.781862397,0.797937331,0.814687146,0.185312854,0.968874051,0.807229504,0.058832295
4,0.81845411,0.78647667,0.756904035,0.243095965,0.96506757,0.797471553,0.056287117
5,0.874943031,0.778090625,0.700543501,0.299456499,0.960771634,0.796491576,0.054795183
6,0.798034887,0.802097682,0.806202067,0.193797933,0.969045737,0.809825752,0.053936325
7,0.77446709,0.807950783,0.844460621,0.155539379,0.97105953,0.814415834,0.050455928
8,0.888119072,0.794148213,0.718160486,0.281839514,0.963809111,0.810117096,0.051220659
9,0.851394211,0.819147852,0.78925501,0.21074499,0.97044935,0.825335914,0.049685057
10,0.853897889,0.811070118,0.77233328,0.22766672,0.96873034,0.819822991,0.051582515
11,0.848502911,0.820438401,0.794170949,0.205829051,0.970805853,0.824878569,0.046629701
12,0.835772356,0.825180577,0.814853908,0.185146092,0.972164203,0.828565418,0.04456383
13,0.845598856,0.827554675,0.810264502,0.189735498,0.972299087,0.828699711,0.044790942
14,0.849551295,0.826596539,0.804849626,0.195150374,0.97198254,0.827227254,0.04572624
15,0.809106382,0.822871585,0.837113275,0.162886725,0.97261979,0.830903848,0.044744238
16,0.862496193,0.827442997,0.79512777,0.20487223,0.971723434,0.831931546,0.044376645
17,0.800714643,0.827549416,0.856245224,0.143754776,0.973768479,0.833277576,0.040622842
18,0.838265456,0.825170043,0.812477499,0.187522501,0.97207913,0.832781865,0.042946976
19,0.800590828,0.824396464,0.849661222,0.150338778,0.97319087,0.830280404,0.040983837
20,0.817041124,0.827468292,0.838165056,0.161834944,0.973218404,0.835307136,0.03922369
21,0.86041498,0.833621749,0.80844681,0.19155319,0.973003314,0.837008341,0.039293133
22,0.809964066,0.829010718,0.848974734,0.151025266,0.97373669,0.835857808,0.038512517
23,0.837531899,0.826171388,0.815114957,0.184885043,0.972296959,0.83545805,0.038669813
24,0.822016126,0.832212991,0.842666021,0.157333979,0.973945715,0.837927472,0.037776094
